Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Atlassian Project),Custom field (Atlassian project),Custom field (Atlassian project status),Custom field (Category),Custom field (Comments),Custom field (Confidence),Custom field (Delivery progress),Custom field (Delivery status),Custom field (Design file),Custom field (Designs ready),Custom field (Designs ready),Custom field (Development),Custom field (Documents),Custom field (Documents),Custom field (Effort),Custom field (Effort),Custom field (Goals),Custom field (Idea archived),Custom field (Idea archived on),Custom field (Idea short description),Custom field (Idea short description),Custom field (Impact),Custom field (Impact),Custom field (Insights),Custom field (Issue color),Custom field (Linked items),Custom field (Project start),Custom field (Project start),Custom field (Project target),Custom field (Project target),Custom field (RICE score),Custom field (Rank),Custom field (Reach),Custom field (Roadmap),Custom field (Roadmap),Custom field (Score),Custom field (Spec ready),Custom field (Start date),Custom field (State),Custom field (Story point estimate),Custom field (Team),Custom field (Value),Custom field (Vulnerability),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Sync beim nächsten Online-Moment automatisch ausführen,KAN-20,10110,Subtask,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,10/Apr/26 1:43 PM,10/Apr/26 1:43 PM,,,,0,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i0005j:,,,,,,,,,,,,10106,KAN-18,Offline-Nutzung,To Do,10/Apr/26 1:43 PM
UI: Offline-Indikator anzeigen,KAN-21,10112,Subtask,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,10/Apr/26 1:43 PM,10/Apr/26 1:43 PM,,,,0,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i0005r:,,,,,,,,,,,,10106,KAN-18,Offline-Nutzung,To Do,10/Apr/26 1:43 PM
Ohne Account nutzen,KAN-22,10114,Story,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,10/Apr/26 1:44 PM,10/Apr/26 1:46 PM,,,,0,"Als Solo-Nutzer möchte ich die App ohne Login verwenden können, damit ich keine Registrierung brauche.",,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i0005z:,,,,,,,,,,,,10072,KAN-1,Familien-Sync,To Do,10/Apr/26 1:44 PM
Feature-Flag: localStorage-Modus vs. Supabase-Modus,KAN-23,10116,Subtask,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,10/Apr/26 1:47 PM,10/Apr/26 1:47 PM,,,,0,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i00067:,,,,,,,,,,,,10114,KAN-22,Ohne Account nutzen,To Do,10/Apr/26 1:47 PM
"UI: ""Ohne Account fortfahren""-Option im Login-Screen",KAN-24,10118,Subtask,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,10/Apr/26 1:47 PM,10/Apr/26 1:47 PM,,,,0,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i0006f:,,,,,,,,,,,,10114,KAN-22,Ohne Account nutzen,To Do,10/Apr/26 1:47 PM
Migration: lokale Daten in Supabase importieren wenn User sich später doch anmeldet,KAN-25,10120,Subtask,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,10/Apr/26 1:47 PM,10/Apr/26 1:47 PM,,,,0,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i0006n:,,,,,,,,,,,,10114,KAN-22,Ohne Account nutzen,To Do,10/Apr/26 1:47 PM
Responsives Desktop-Layout,KAN-27,10123,Story,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,10/Apr/26 1:49 PM,10/Apr/26 1:49 PM,,,,0,"Als Nutzer am PC möchte ich eine übersichtliche Zwei-Spalten-Ansicht, damit ich meine Vorräte besser überblicken kann.",,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i00073:,,,,,,,,,,,,10121,KAN-26, PC/Desktop-Ansicht,To Do,10/Apr/26 1:49 PM
CSS Media Query ab 900px Breite definieren,KAN-28,10125,Subtask,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,10/Apr/26 1:50 PM,10/Apr/26 1:50 PM,,,,0,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i0007b:,,,,,,,,,,,,10123,KAN-27,Responsives Desktop-Layout,To Do,10/Apr/26 1:50 PM
Layout: linke Spalte mit FilterPanel und Kategoriebaum,KAN-29,10127,Subtask,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,10/Apr/26 1:50 PM,10/Apr/26 1:50 PM,,,,0,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i0007j:,,,,,,,,,,,,10123,KAN-27,Responsives Desktop-Layout,To Do,10/Apr/26 1:50 PM
Layout: rechte Spalte mit sortierbare Produkttabelle,KAN-30,10129,Subtask,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,10/Apr/26 1:50 PM,10/Apr/26 1:50 PM,,,,0,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i0007r:,,,,,,,,,,,,10123,KAN-27,Responsives Desktop-Layout,To Do,10/Apr/26 1:50 PM
